Coord: (  2,  28): 0.090910   1.000000
Coord: (  2,  29): 0.100000   1.000000
Coord: (  2,  30): 0.111110   1.000000
Coord: (  2,  31): 0.125000   1.000000
Coord: (  2,  32): 0.142860   1.000000
Coord: (  2,  33): 0.166670   1.000000
Coord: (  2,  34): 0.200000   1.000000
Coord: (  2,  35): 0.250000   1.000000
Coord: (  2,  36): 0.333330   1.000000
Coord: (  2,  37): 0.500000   1.000000
Coord: (  2,  38): 1.000000   0.000000
Coord: (  2,  39): 1.000000   0.000000
Coord: (  2,  40): 1.000000   0.000000
Coord: (  2,  41): 1.000000   0.000000
Coord: (  2,  42): 1.000000   0.000000
Coord: (  2,  43): 1.000000   0.000000
Coord: (  2,  44): 1.000000   0.000000
Coord: (  2,  45): 1.000000   0.000000
Coord: (  2,  46): 1.000000   0.000000
Coord: (  2,  47): 1.000000   0.000000
Coord: (  2,  48): 1.000000   0.000000
Coord: (  2,  49): 1.000000   0.000000
Coord: (  2,  50): 1.000000   0.000000
Coord: (  2,  51): 1.000000   0.000000
Coord: (  2,  52): 1.000000   0.000000
Coord: (  2,  53): 1.000000   0.000000
Coord: (  2,  54): 1.000000   0.000000
Coord: (  2,  55): 1.000000   0.000000
Coord: (  2,  56): 1.000000   0.000000
Coord: (  2,  57): 1.000000   0.000000
Coord: (  2,  58): 1.000000   0.000000
Coord: (  2,  59): 1.000000   0.000000
Coord: (  2,  60): 1.000000   0.000000
Coord: (  2,  61): 1.000000   0.000000
Coord: (  2,  62): 1.000000   0.000000
Coord: (  2,  63): 1.000000   -1.000000
Coord: (  2,  64): 0.500000   -1.000000
Coord: (  2,  65): 0.333330   -1.000000
Coord: (  2,  66): 0.250000   -1.000000
Coord: (  2,  67): 0.200000   -1.000000
Coord: (  2,  68): 0.166670   -1.000000
Coord: (  2,  69): 0.142860   -1.000000
Coord: (  2,  70): 0.125000   -1.000000
Coord: (  2,  71): 0.111110   -1.000000
Coord: (  2,  72): 0.100000   -1.000000
Coord: (  2,  73): 0.090910   -1.000000
Coord: (  2,  74): 0.083330   -1.000000
Coord: (  2,  75): 0.076920   -1.000000
Coord: (  2,  76): 0.071430   -1.000000
Coord: (  2,  77): 0.066670   -1.000000
Coord: (  2,  78): 0.062500   -1.000000
Coord: (  2,  79): 0.058820   -1.000000
Coord: (  2,  80): 0.055560   -1.000000
Coord: (  2,  81): 0.000000   -1.000000
Coord: (  2,  82): -0.055560   -1.000000
Coord: (  2,  83): -0.058820   -1.000000
Coord: (  2,  84): -0.062500   -1.000000
Coord: (  2,  85): -0.066670   -1.000000
Coord: (  2,  86): -0.071430   -1.000000
Coord: (  2,  87): -0.076920   -1.000000
Coord: (  2,  88): -0.083330   -1.000000
Coord: (  2,  89): -0.090910   -1.000000
Coord: (  2,  90): -0.100000   -1.000000
Coord: (  2,  91): -0.111110   -1.000000
