t= 1,   p=  1  ( 70.66667000, 65.05263000)
t= 1,   p=  2  ( 73.14286000, 93.04762000)
t= 1,   p=  3  ( 95.25000000, 95.80000000)
t= 1,   p=  4  ( 30.92857000, 14.94444000)
t= 1,   p=  5  ( 37.90909000, 11.90909000)
t= 1,   p=  6  ( 34.00000000, 63.06250000)
t= 1,   p=  7  ( 27.09091000, 73.04545000)
t= 1,   p=  8  ( 54.00000000, 49.00000000)
t= 1,   p=  9  ( 46.92308000, 13.50000000)
t= 1,   p= 10  ( 92.00000000, 59.00000000)
t= 1,   p= 11  ( 72.80000000, 67.04762000)
t= 1,   p= 12  ( 13.33333000, 64.91667000)
t= 1,   p= 13  ( 58.16667000,  6.83333000)
t= 1,   p= 14  ( 23.66667000, 96.95652000)
t= 1,   p= 15  (  2.00000000, 61.00000000)
t= 1,   p= 16  ( 57.93333000, 23.83333000)
t= 1,   p= 17  ( 79.06667000, 16.04762000)
t= 1,   p= 18  ( 53.05556000, 18.00000000)
t= 1,   p= 19  ( 51.00000000,100.00000000)
t= 1,   p= 20  ( 28.75000000,  4.95000000)
t= 1,   p= 21  ( 51.00000000,  2.00000000)
t= 1,   p= 22  ( 12.50000000, 97.91667000)
t= 1,   p= 23  ( 38.83333000,  6.90000000)
t= 1,   p= 24  ( 95.00000000, 57.00000000)
t= 1,   p= 25  ( 21.90909000, 12.04762000)
t= 1,   p= 26  ( 17.07143000, 25.06250000)
t= 1,   p= 27  (  4.00000000, 52.00000000)
t= 1,   p= 28  ( 68.00000000, 38.00000000)
t= 1,   p= 29  (  9.10000000, 71.87500000)
t= 1,   p= 30  ( 17.85714000, 92.94118000)
t= 1,   p= 31  (  6.00000000, 57.00000000)
t= 1,   p= 32  (  5.00000000, 54.00000000)
t= 1,   p= 33  ( 11.90909000, 12.09091000)
t= 1,   p= 34  (  2.90000000, 89.50000000)
t= 1,   p= 35  ( 64.25000000,  4.91667000)
t= 1,   p= 36  (  4.11111000, 70.66667000)
t= 1,   p= 37  ( 83.85714000, 32.06250000)
t= 1,   p= 38  ( 12.06250000, 23.09091000)
t= 1,   p= 39  ( 61.00000000, 38.00000000)
t= 1,   p= 40  ( 88.00000000, 55.00000000)
t= 1,   p= 41  ( 83.00000000, 38.00000000)
t= 1,   p= 42  ( 47.06667000, 23.50000000)
t= 1,   p= 43  ( 49.00000000, 92.00000000)
t= 1,   p= 44  ( 41.14286000, 31.87500000)
t= 1,   p= 45  ( 97.07143000, 15.33333000)
t= 1,   p= 46  (  3.92308000, 14.33333000)
t= 1,   p= 47  ( 63.90909000, 73.08333000)
t= 1,   p= 48  ( 84.75000000, 35.06667000)
t= 1,   p= 49  ( 22.00000000, 99.00000000)
t= 1,   p= 50  ( 50.00000000, 42.00000000)
t= 1,   p= 51  ( 40.75000000,  4.87500000)
t= 1,   p= 52  (  7.20000000, 34.16667000)
t= 1,   p= 53  ( 40.20000000, 67.11111000)
t= 1,   p= 54  ( 65.00000000, 40.00000000)
t= 1,   p= 55  ( 43.00000000, 42.00000000)
t= 1,   p= 56  ( 10.66667000,  4.10000000)
t= 1,   p= 57  ( 30.93750000, 84.05556000)
t= 1,   p= 58  ( 33.10000000, 28.93750000)
t= 1,   p= 59  ( 44.12500000, 30.80000000)
t= 1,   p= 60  (  8.94444000, 81.87500000)
t= 1,   p= 61  ( 87.90909000, 28.08333000)
t= 1,   p= 62  ( 83.00000000, 41.00000000)
t= 1,   p= 63  ( 97.91667000, 27.50000000)
t= 1,   p= 64  ( 55.05882000, 17.66667000)
t= 1,   p= 65  ( 27.92308000, 13.95238000)
t= 1,   p= 66  ( 62.08333000, 12.90000000)
t= 1,   p= 67  (  5.00000000, 61.00000000)
t= 1,   p= 68  ( 13.80000000,  6.07692000)
t= 1,   p= 69  ( 24.50000000, 63.95652000)
t= 1,   p= 70  ( 83.00000000, 80.94118000)
t= 1,   p= 71  ( 11.07692000, 74.90000000)
t= 1,   p= 72  ( 95.00000000, 44.00000000)
t= 1,   p= 73  ( 27.20000000, 33.95455000)
t= 1,   p= 74  ( 65.16667000,  6.92308000)
t= 1,   p= 75  ( 95.94444000, 21.25000000)
t= 1,   p= 76  (  8.75000000,  5.12500000)
t= 1,   p= 77  ( 86.80000000, 34.07692000)
t= 1,   p= 78  (  3.85714000, 92.66667000)
t= 1,   p= 79  ( 75.12500000,  8.95652000)
t= 1,   p= 80  ( 59.66667000, 35.87500000)
t= 1,   p= 81  (  7.07143000, 25.16667000)
t= 1,   p= 82  ( 83.00000000, 41.00000000)
t= 1,   p= 83  ( 51.00000000, 14.00000000)
t= 1,   p= 84  ( 84.00000000, 46.00000000)
t= 1,   p= 85  ( 68.16667000,  6.93750000)
t= 1,   p= 86  (  6.90909000, 12.16667000)
t= 1,   p= 87  ( 73.66667000, 65.04545000)
t= 1,   p= 88  ( 35.14286000, 69.07143000)
t= 1,   p= 89  (  2.16667000, 67.00000000)
t= 1,   p= 90  ( 34.25000000, 66.06667000)
t= 1,   p= 91  ( 63.00000000, 58.00000000)
t= 1,   p= 92  ( 96.66667000, 36.33333000)
t= 1,   p= 93  ( 89.07143000, 15.09091000)
t= 1,   p= 94  ( 78.00000000, 51.00000000)
t= 1,   p= 95  ( 11.00000000, 57.00000000)
t= 1,   p= 96  ( 98.00000000, 44.00000000)
t= 1,   p= 97  ( 98.00000000, 56.00000000)
t= 1,   p= 98  ( 89.88889000, 30.10000000)
t= 1,   p= 99  ( 62.06250000, 16.90000000)
t= 1,   p=100  (  8.11111000, 30.14286000)
t= 2,   p=  1  ( 70.33334000, 65.10819000)
t= 2,   p=  2  ( 73.28572000, 93.09524000)
t= 2,   p=  3  ( 95.45000000, 95.60000000)
t= 2,   p=  4  ( 30.85165000, 14.89181000)
t= 2,   p=  5  ( 37.80909000, 11.82576000)
t= 2,   p=  6  ( 35.00000000, 63.12917000)
t= 2,   p=  7  ( 27.18182000, 73.09090000)
t= 2,   p=  8  ( 54.00000000, 49.00000000)
t= 2,   p=  9  ( 46.83975000, 13.16667000)
t= 2,   p= 10  ( 91.00000000, 59.00000000)
t= 2,   p= 11  ( 72.60000000, 67.09762000)
t= 2,   p= 12  ( 13.83333000, 64.83334000)
t= 2,   p= 13  ( 58.36667000,  6.66666000)
t= 2,   p= 14  ( 23.41667000, 96.91107000)
t= 2,   p= 15  (  3.00000000, 61.00000000)
t= 2,   p= 16  ( 57.87083000, 23.63333000)
t= 2,   p= 17  ( 79.13334000, 16.09524000)
t= 2,   p= 18  ( 53.11438000, 17.00000000)
t= 2,   p= 19  ( 51.00000000, 99.00000000)
t= 2,   p= 20  ( 28.41667000,  4.90238000)
t= 2,   p= 21  ( 51.00000000,  1.00000000)
t= 2,   p= 22  ( 12.16667000, 97.82576000)
t= 2,   p= 23  ( 38.63333000,  6.80909000)
t= 2,   p= 24  ( 94.00000000, 57.00000000)
t= 2,   p= 25  ( 21.81818000, 12.09762000)
t= 2,   p= 26  ( 17.14286000, 25.12500000)
t= 2,   p= 27  (  5.00000000, 52.00000000)
t= 2,   p= 28  ( 67.00000000, 38.00000000)
t= 2,   p= 29  (  9.21111000, 71.75000000)
t= 2,   p= 30  ( 17.73214000, 92.87868000)
t= 2,   p= 31  (  7.00000000, 57.00000000)
t= 2,   p= 32  (  6.00000000, 54.00000000)
t= 2,   p= 33  ( 11.81818000, 12.19091000)
t= 2,   p= 34  (  2.80909000, 88.50000000)
t= 2,   p= 35  ( 64.58333000,  4.83334000)
t= 2,   p= 36  (  4.23611000, 70.33334000)
t= 2,   p= 37  ( 83.71428000, 32.12132000)
t= 2,   p= 38  ( 12.12500000, 23.18182000)
t= 2,   p= 39  ( 60.00000000, 38.00000000)
t= 2,   p= 40  ( 87.00000000, 55.00000000)
t= 2,   p= 41  ( 82.00000000, 38.00000000)
t= 2,   p= 42  ( 47.12917000, 23.00000000)
t= 2,   p= 43  ( 49.00000000, 92.00000000)
t= 2,   p= 44  ( 41.26786000, 31.75000000)
t= 2,   p= 45  ( 97.14286000, 15.66666000)
t= 2,   p= 46  (  3.84616000, 14.83333000)
t= 2,   p= 47  ( 63.81818000, 73.17424000)
t= 2,   p= 48  ( 84.50000000, 35.12917000)
t= 2,   p= 49  ( 21.00000000, 99.00000000)
t= 2,   p= 50  ( 50.00000000, 41.00000000)
t= 2,   p= 51  ( 40.41667000,  4.76389000)
t= 2,   p= 52  (  7.40000000, 34.33334000)
t= 2,   p= 53  ( 40.40000000, 67.22222000)
t= 2,   p= 54  ( 64.00000000, 40.00000000)
t= 2,   p= 55  ( 43.00000000, 42.00000000)
t= 2,   p= 56  ( 10.33334000,  4.21111000)
t= 2,   p= 57  ( 30.87500000, 84.10819000)
t= 2,   p= 58  ( 33.19091000, 28.87500000)
t= 2,   p= 59  ( 44.23611000, 30.60000000)
t= 2,   p= 60  (  8.94444000, 81.73214000)
t= 2,   p= 61  ( 87.81818000, 28.16025000)
t= 2,   p= 62  ( 82.00000000, 41.00000000)
t= 2,   p= 63  ( 97.83334000, 27.83333000)
t= 2,   p= 64  ( 55.12132000, 17.33334000)
t= 2,   p= 65  ( 27.83975000, 13.90693000)
t= 2,   p= 66  ( 62.17424000, 12.80000000)
t= 2,   p= 67  (  6.00000000, 61.00000000)
t= 2,   p= 68  ( 13.60000000,  6.16025000)
t= 2,   p= 69  ( 25.50000000, 63.91304000)
t= 2,   p= 70  ( 82.94444000, 80.88236000)
t= 2,   p= 71  ( 11.16025000, 74.80000000)
t= 2,   p= 72  ( 94.00000000, 44.00000000)
t= 2,   p= 73  ( 27.36667000, 33.90910000)
t= 2,   p= 74  ( 65.36667000,  6.84616000)
t= 2,   p= 75  ( 95.88888000, 21.45000000)
t= 2,   p= 76  (  8.50000000,  5.26786000)
t= 2,   p= 77  ( 86.60000000, 34.14835000)
t= 2,   p= 78  (  3.73214000, 92.16667000)
t= 2,   p= 79  ( 75.26786000,  8.91304000)
t= 2,   p= 80  ( 59.41667000, 35.73214000)
t= 2,   p= 81  (  7.14286000, 25.33334000)
t= 2,   p= 82  ( 82.00000000, 41.00000000)
t= 2,   p= 83  ( 51.00000000, 13.00000000)
t= 2,   p= 84  ( 83.00000000, 46.00000000)
t= 2,   p= 85  ( 68.36667000,  6.87500000)
t= 2,   p= 86  (  6.81818000, 12.36667000)
t= 2,   p= 87  ( 73.33334000, 65.09307000)
t= 2,   p= 88  ( 35.28572000, 69.14286000)
t= 2,   p= 89  (  2.36667000, 66.00000000)
t= 2,   p= 90  ( 34.50000000, 66.13334000)
t= 2,   p= 91  ( 62.00000000, 58.00000000)
t= 2,   p= 92  ( 96.33334000, 36.58333000)
t= 2,   p= 93  ( 89.14286000, 15.18182000)
t= 2,   p= 94  ( 77.00000000, 51.00000000)
t= 2,   p= 95  ( 12.00000000, 57.00000000)
t= 2,   p= 96  ( 97.00000000, 44.00000000)
t= 2,   p= 97  ( 97.00000000, 56.00000000)
t= 2,   p= 98  ( 89.77778000, 30.19091000)
t= 2,   p= 99  ( 62.12917000, 16.80000000)
t= 2,   p=100  (  8.22222000, 30.28572000)
t= 3,   p=  1  ( 70.00001000, 65.16375000)
t= 3,   p=  2  ( 73.42858000, 93.14286000)
t= 3,   p=  3  ( 95.65000000, 95.40000000)
t= 3,   p=  4  ( 30.77473000, 14.83918000)
t= 3,   p=  5  ( 37.70909000, 11.74243000)
t= 3,   p=  6  ( 36.00000000, 63.20060000)
t= 3,   p=  7  ( 27.27273000, 73.13635000)
t= 3,   p=  8  ( 54.00000000, 49.00000000)
t= 3,   p=  9  ( 46.75642000, 12.83334000)
t= 3,   p= 10  ( 90.00000000, 59.00000000)
t= 3,   p= 11  ( 72.40000000, 67.14762000)
t= 3,   p= 12  ( 14.33333000, 64.75001000)
t= 3,   p= 13  ( 58.56667000,  6.49999000)
t= 3,   p= 14  ( 23.16667000, 96.86562000)
t= 3,   p= 15  (  4.00000000, 61.00000000)
t= 3,   p= 16  ( 57.80833000, 23.43333000)
t= 3,   p= 17  ( 79.20001000, 16.14286000)
t= 3,   p= 18  ( 53.17688000, 16.00000000)
t= 3,   p= 19  ( 51.00000000,100.00000000)
t= 3,   p= 20  ( 28.08334000,  4.85476000)
t= 3,   p= 21  ( 51.00000000,  2.00000000)
t= 3,   p= 22  ( 11.83334000, 97.73485000)
t= 3,   p= 23  ( 38.43333000,  6.71818000)
t= 3,   p= 24  ( 93.00000000, 57.00000000)
t= 3,   p= 25  ( 21.72727000, 12.14762000)
t= 3,   p= 26  ( 17.21429000, 25.18750000)
t= 3,   p= 27  (  6.00000000, 52.00000000)
t= 3,   p= 28  ( 66.00000000, 38.00000000)
t= 3,   p= 29  (  9.32222000, 71.62500000)
t= 3,   p= 30  ( 17.60714000, 92.81618000)
t= 3,   p= 31  (  8.00000000, 57.00000000)
t= 3,   p= 32  (  7.00000000, 54.00000000)
t= 3,   p= 33  ( 11.72727000, 12.29091000)
t= 3,   p= 34  (  2.72576000, 87.50000000)
t= 3,   p= 35  ( 64.91666000,  4.75001000)
t= 3,   p= 36  (  4.36111000, 70.00001000)
t= 3,   p= 37  ( 83.57142000, 32.18014000)
t= 3,   p= 38  ( 12.18750000, 23.27273000)
t= 3,   p= 39  ( 59.00000000, 38.00000000)
t= 3,   p= 40  ( 86.00000000, 55.00000000)
t= 3,   p= 41  ( 81.00000000, 38.00000000)
t= 3,   p= 42  ( 47.19167000, 22.50000000)
t= 3,   p= 43  ( 49.00000000, 92.00000000)
t= 3,   p= 44  ( 41.39286000, 31.62500000)
t= 3,   p= 45  ( 97.21429000, 15.99999000)
t= 3,   p= 46  (  3.76924000, 15.33333000)
t= 3,   p= 47  ( 63.72727000, 73.26515000)
t= 3,   p= 48  ( 84.25000000, 35.19167000)
t= 3,   p= 49  ( 20.00000000, 99.00000000)
t= 3,   p= 50  ( 50.00000000, 40.00000000)
t= 3,   p= 51  ( 40.08334000,  4.65278000)
t= 3,   p= 52  (  7.60000000, 34.50001000)
t= 3,   p= 53  ( 40.60000000, 67.33333000)
t= 3,   p= 54  ( 63.00000000, 40.00000000)
t= 3,   p= 55  ( 43.00000000, 42.00000000)
t= 3,   p= 56  ( 10.00001000,  4.32222000)
t= 3,   p= 57  ( 30.81250000, 84.16082000)
t= 3,   p= 58  ( 33.28182000, 28.81250000)
t= 3,   p= 59  ( 44.34722000, 30.40000000)
t= 3,   p= 60  (  8.94444000, 81.58928000)
t= 3,   p= 61  ( 87.72727000, 28.23717000)
t= 3,   p= 62  ( 81.00000000, 41.00000000)
t= 3,   p= 63  ( 97.75001000, 28.16666000)
t= 3,   p= 64  ( 55.18382000, 17.00001000)
t= 3,   p= 65  ( 27.75642000, 13.86148000)
t= 3,   p= 66  ( 62.26515000, 12.70000000)
t= 3,   p= 67  (  7.00000000, 61.00000000)
t= 3,   p= 68  ( 13.40000000,  6.24358000)
t= 3,   p= 69  ( 26.50000000, 63.95471000)
t= 3,   p= 70  ( 82.88888000, 80.82680000)
t= 3,   p= 71  ( 11.24358000, 74.70000000)
t= 3,   p= 72  ( 93.00000000, 44.00000000)
t= 3,   p= 73  ( 27.53334000, 33.86365000)
t= 3,   p= 74  ( 65.56667000,  6.76924000)
t= 3,   p= 75  ( 95.83332000, 21.65000000)
t= 3,   p= 76  (  8.25000000,  5.41072000)
t= 3,   p= 77  ( 86.40000000, 34.21978000)
t= 3,   p= 78  (  3.60714000, 91.66667000)
t= 3,   p= 79  ( 75.41072000,  8.86956000)
t= 3,   p= 80  ( 59.16667000, 35.58928000)
t= 3,   p= 81  (  7.21429000, 25.50001000)
t= 3,   p= 82  ( 81.00000000, 41.00000000)
t= 3,   p= 83  ( 51.00000000, 12.00000000)
t= 3,   p= 84  ( 82.00000000, 46.00000000)
t= 3,   p= 85  ( 68.56667000,  6.81250000)
t= 3,   p= 86  (  6.72727000, 12.56667000)
t= 3,   p= 87  ( 73.00001000, 65.14069000)
t= 3,   p= 88  ( 35.42858000, 69.21429000)
t= 3,   p= 89  (  2.61667000, 65.00000000)
t= 3,   p= 90  ( 34.75000000, 66.20001000)
t= 3,   p= 91  ( 61.00000000, 58.00000000)
t= 3,   p= 92  ( 96.00001000, 36.83333000)
t= 3,   p= 93  ( 89.21429000, 15.27273000)
t= 3,   p= 94  ( 76.00000000, 51.00000000)
t= 3,   p= 95  ( 13.00000000, 57.00000000)
t= 3,   p= 96  ( 96.00000000, 44.00000000)
t= 3,   p= 97  ( 96.00000000, 56.00000000)
t= 3,   p= 98  ( 89.66667000, 30.28182000)
t= 3,   p= 99  ( 62.19584000, 16.70000000)
t= 3,   p=100  (  8.33333000, 30.42858000)
t= 4,   p=  1  ( 69.66668000, 65.21931000)
t= 4,   p=  2  ( 73.57144000, 93.19048000)
t= 4,   p=  3  ( 95.85000000, 95.20000000)
t= 4,   p=  4  ( 30.69781000, 14.78655000)
t= 4,   p=  5  ( 37.60909000, 11.65910000)
t= 4,   p=  6  ( 37.00000000, 63.27752000)
t= 4,   p=  7  ( 27.36364000, 73.18180000)
t= 4,   p=  8  ( 54.00000000, 49.00000000)
t= 4,   p=  9  ( 46.66551000, 12.50001000)
t= 4,   p= 10  ( 89.00000000, 59.00000000)
t= 4,   p= 11  ( 72.20000000, 67.19762000)
t= 4,   p= 12  ( 14.83333000, 64.67309000)
t= 4,   p= 13  ( 58.76667000,  6.33332000)
t= 4,   p= 14  ( 22.91667000, 96.82017000)
t= 4,   p= 15  (  5.00000000, 61.00000000)
t= 4,   p= 16  ( 57.74583000, 23.23333000)
t= 4,   p= 17  ( 79.26668000, 16.19048000)
t= 4,   p= 18  ( 53.24355000, 15.00000000)
t= 4,   p= 19  ( 51.00000000, 99.00000000)
t= 4,   p= 20  ( 27.75001000,  4.80714000)
t= 4,   p= 21  ( 51.00000000,  1.00000000)
t= 4,   p= 22  ( 11.50001000, 97.63485000)
t= 4,   p= 23  ( 38.23333000,  6.62727000)
t= 4,   p= 24  ( 92.00000000, 57.00000000)
t= 4,   p= 25  ( 21.63636000, 12.19762000)
t= 4,   p= 26  ( 17.28572000, 25.25000000)
t= 4,   p= 27  (  7.00000000, 52.00000000)
t= 4,   p= 28  ( 65.00000000, 38.00000000)
t= 4,   p= 29  (  9.43333000, 71.50000000)
t= 4,   p= 30  ( 17.48214000, 92.75368000)
t= 4,   p= 31  (  9.00000000, 57.00000000)
t= 4,   p= 32  (  8.00000000, 54.00000000)
t= 4,   p= 33  ( 11.63636000, 12.39091000)
t= 4,   p= 34  (  2.64884000, 86.50000000)
t= 4,   p= 35  ( 65.24999000,  4.66668000)
t= 4,   p= 36  (  4.48611000, 69.66668000)
t= 4,   p= 37  ( 83.42856000, 32.23896000)
t= 4,   p= 38  ( 12.25000000, 23.36364000)
t= 4,   p= 39  ( 58.00000000, 38.00000000)
t= 4,   p= 40  ( 85.00000000, 55.00000000)
t= 4,   p= 41  ( 80.00000000, 38.00000000)
t= 4,   p= 42  ( 47.25049000, 22.00000000)
t= 4,   p= 43  ( 49.00000000, 92.00000000)
t= 4,   p= 44  ( 41.51786000, 31.50000000)
t= 4,   p= 45  ( 97.28572000, 16.33332000)
t= 4,   p= 46  (  3.69781000, 15.83333000)
t= 4,   p= 47  ( 63.63636000, 73.35606000)
t= 4,   p= 48  ( 84.00000000, 35.25417000)
t= 4,   p= 49  ( 19.00000000, 99.00000000)
t= 4,   p= 50  ( 50.00000000, 39.00000000)
t= 4,   p= 51  ( 39.75001000,  4.54167000)
t= 4,   p= 52  (  7.80000000, 34.66668000)
t= 4,   p= 53  ( 40.80000000, 67.44444000)
t= 4,   p= 54  ( 62.00000000, 40.00000000)
t= 4,   p= 55  ( 43.00000000, 42.00000000)
t= 4,   p= 56  (  9.66668000,  4.43333000)
t= 4,   p= 57  ( 30.75000000, 84.21345000)
t= 4,   p= 58  ( 33.37273000, 28.75000000)
t= 4,   p= 59  ( 44.45833000, 30.20000000)
t= 4,   p= 60  (  8.94444000, 81.44642000)
t= 4,   p= 61  ( 87.63636000, 28.31409000)
t= 4,   p= 62  ( 80.00000000, 41.00000000)
t= 4,   p= 63  ( 97.65910000, 28.49999000)
t= 4,   p= 64  ( 55.24632000, 16.66668000)
t= 4,   p= 65  ( 27.67309000, 13.81603000)
t= 4,   p= 66  ( 62.35606000, 12.60000000)
t= 4,   p= 67  (  8.00000000, 61.00000000)
t= 4,   p= 68  ( 13.20000000,  6.32691000)
t= 4,   p= 69  ( 27.50000000, 63.99819000)
t= 4,   p= 70  ( 82.83332000, 80.77124000)
t= 4,   p= 71  ( 11.32691000, 74.60000000)
t= 4,   p= 72  ( 92.00000000, 44.00000000)
t= 4,   p= 73  ( 27.70001000, 33.81820000)
t= 4,   p= 74  ( 65.76667000,  6.69232000)
t= 4,   p= 75  ( 95.77776000, 21.85000000)
t= 4,   p= 76  (  8.00000000,  5.55358000)
t= 4,   p= 77  ( 86.20000000, 34.29121000)
t= 4,   p= 78  (  3.49603000, 91.16667000)
t= 4,   p= 79  ( 75.55358000,  8.82608000)
t= 4,   p= 80  ( 58.91667000, 35.44642000)
t= 4,   p= 81  (  7.28572000, 25.66668000)
t= 4,   p= 82  ( 80.00000000, 41.00000000)
t= 4,   p= 83  ( 51.00000000, 11.00000000)
t= 4,   p= 84  ( 81.00000000, 46.00000000)
t= 4,   p= 85  ( 68.76667000,  6.75000000)
t= 4,   p= 86  (  6.63636000, 12.76667000)
t= 4,   p= 87  ( 72.66668000, 65.18831000)
t= 4,   p= 88  ( 35.57144000, 69.28572000)
t= 4,   p= 89  (  2.95000000, 64.00000000)
t= 4,   p= 90  ( 35.00000000, 66.26668000)
t= 4,   p= 91  ( 60.00000000, 58.00000000)
t= 4,   p= 92  ( 95.66668000, 37.08333000)
t= 4,   p= 93  ( 89.28572000, 15.36364000)
t= 4,   p= 94  ( 75.00000000, 51.00000000)
t= 4,   p= 95  ( 14.00000000, 57.00000000)
t= 4,   p= 96  ( 95.00000000, 44.00000000)
t= 4,   p= 97  ( 95.00000000, 56.00000000)
t= 4,   p= 98  ( 89.55556000, 30.37273000)
t= 4,   p= 99  ( 62.26251000, 16.60000000)
t= 4,   p=100  (  8.44444000, 30.57144000)
t= 5,   p=  1  ( 69.33335000, 65.27813000)
t= 5,   p=  2  ( 73.71430000, 93.23810000)
t= 5,   p=  3  ( 96.05000000, 95.00000000)
